Year,Country Name,Population,GDP,Electric power consumption,Fossil fuel energy consumption,Renewable energy consumption,Fertilizer consumption,Temperature annual mean,Temperature std across months,Number of frost days,Number of hot days,Total CO2 emissions
2019,India,1389030312,2835606256558.195,988.2721695421144,75.39628624540045,33.5,186.4567577830841,0.7808333333333333,0.4820442291832659,13.32,87.43,2551.4851
2020,India,1402617695,2674851578587.269,901.3995791633016,75.41189530668807,36.1,210.6919583014403,0.56225,0.5256420082464237,12.87,69.23,2356.959
2021,India,1414203896,3167270623260.469,963.3639136856118,75.39186384899362,34.9,193.6010122137056,0.7158333333333333,0.6724203587703818,12.63,75.16,2597.9343
2022,India,1425423212,3346107287730.927,1085.335209203819,75.40001513369405,34.833333333333336,193.7549693915666,0.851,0.6157430470577805,12.15,82.89,2807.0805
2023,India,1438069596,3638489096033.859,1181.630572488649,75.40125809645859,35.27777777777778,199.1412158548165,0.8938333333333333,0.7176619252049595,12.66,74.11,3014.5226
1990,Indonesia,183501098,106140727333.6356,160.6693383382371,62.24269956033809,59.2,123.4780032587765,0.0715,0.2473066584896843,0,0.78,161.7687
1991,Indonesia,186778238,116621996217.1334,175.8663126482647,63.65727229490575,58.4,132.7415519,0.1999166666666667,0.3069395864371721,0,1.41,174.6593
1992,Indonesia,190043744,128026966579.9637,191.9715915510484,64.55512389078885,57.5,142.6677713338857,0.2169166666666667,0.330871692,0,0.22,182.5524
1993,Indonesia,193305168,158006700301.5332,210.1444075204446,67.76363351641143,56.1,127.8062772353687,0.2440833333333333,0.2478085478527504,0,0.66,199.8507
1994,Indonesia,196591828,176892143931.5053,236.7748470195821,66.18281400239833,53.4,144.0499824827747,0.329,0.2222502343455832,0,2.31,212.7475
1995,Indonesia,199888057,202132028723.1153,259.7203693865512,69.01075464037696,50.7,145.8424633836928,0.30275,0.188786972,0,0.38,239.099
1996,Indonesia,203204348,227369679374.9733,292.3018162977497,69.89571076158909,49.3,151.3795217657879,0.3545833333333333,0.2571379196505685,0,0.38,252.0076
1997,Indonesia,206536095,2.15749E+11,325.2845465,70.7162723,47.6,124.1625327462237,0.4468333333333334,0.2256194559183425,0,3.84,275.5207
1998,Indonesia,209826788,95445547872.71504,324.3341836791592,69.83167500825688,48.9,152.0372332,0.9168333333333334,0.384574837,0,2.72,278.2434
1999,Indonesia,213004668,140001351215.4619,348.9735727294014,71.44707912250048,45.8,140.7112201103618,0.2204166666666667,0.1334593935330976,0,0.64,295.25
2000,Indonesia,216077790,165021012077.8096,382.177178,76.18565363,45.6,138.9833342623042,0.2834166666666667,0.2122527810313814,0,0.5,299.0702
2001,Indonesia,219097902,160446947784.9086,402.6966903589976,75.59692479914136,44.3,147.0546792,0.4409166666666667,0.1761573436511298,0,0.8,319.562
