Country Name,Year,Population,GDP,Electric power consumption,Industry,Fossil fuel energy consumption,Renewable energy consumption,Fertilizer consumption,Temperature annual mean,Temperature std across months,Number of frost days,Number of hot days,Total CO2 emissions
Indonesia,2012,252698525.0,917869913332.6486,749.7313251036982,43.59374442333764,80.54683564221247,30.1,324.10512731021635,0.44275,0.14466059415058405,,1.34,504.2572
Indonesia,2013,255852467.0,912524136718.0182,793.5002635718186,42.63567743758887,79.69931735113362,30.6,303.5337469156882,0.7760833333333333,0.22338772658516598,,0.89,474.9651
Indonesia,2014,258877399.0,890814755533.5369,836.1409718891683,41.92834212700329,81.70231145461278,29.3,334.11587108220215,0.7425833333333333,0.22488866072397293,,2.93,505.0762
Indonesia,2015,261799249.0,860854232686.2139,857.6495190786434,40.04786240425055,54.754870249572484,26.6,341.49699007327524,0.8442500000000001,0.3607818188785756,,3.58,512.3973
Indonesia,2016,264627418.0,931877364037.6975,907.7177331639914,39.30844398020808,0.0,27.8,332.6893895266236,1.3726666666666667,0.22406856589495597,,1.65,507.0965
Indonesia,2017,267346658.0,1015618744159.7339,951.0498537819763,39.37915480402372,0.0,25.2,374.4817808052955,0.9155000000000001,0.1348545512765513,,0.82,535.7474
Indonesia,2018,269951846.0,1042271532988.6317,1065.2603575824407,39.729737452384825,0.0,22.0,388.9456342382197,0.9343333333333333,0.1437830155322789,,1.96,596.4692
Indonesia,2019,272489381.0,1119099871350.1992,1107.1514012503849,38.951767995077915,0.0,19.8,304.3160405055748,1.05875,0.17423409779183108,,3.98,637.5692
Indonesia,2020,274814866.0,1059054842698.482,1119.6155596618999,38.23839371879418,0.0,21.9,336.1079860112639,1.1905,0.16236045290238224,,1.23,596.2839
Indonesia,2021,276758053.0,1186509691086.7307,1210.5844667146866,39.84481919196861,0.0,20.2,381.2299193110908,1.0305833333333334,0.1768245167453377,,0.9,622.6868
Indonesia,2022,278830529.0,1319101183380.1516,1330.9876839203644,41.42926417609789,0.0,,311.08811079962106,0.9409166666666667,0.15250926656727742,,0.95,722.6996
Indonesia,2023,281190067.0,1371169301563.6216,1445.2146348398574,40.21568231067943,0.0,,311.07198863987503,1.1794166666666668,0.2885958703600745,,5.58,772.5618
Russian Federation,1990,147969406.0,517014446227.9294,6687.727056226745,45.003570319776465,93.37899126656775,3.8,,,,222.86,0.05,2436.2695
Russian Federation,1991,148394216.0,517962962962.96295,6551.299816159951,45.86485520200215,93.35687992100392,3.8,,,,220.67,0.38,2393.5405
Russian Federation,1992,148538197.0,460290556900.7264,6113.679971489084,42.25027143608627,92.56114819858512,4.0,41.739894551845346,0.5294166666666666,1.569174063976191,236.4,0.04,2205.4651
Russian Federation,1993,148458777.0,435083713850.83716,5726.451592686904,40.52550521835461,92.39287516819745,4.0,29.728728249625593,0.7700833333333333,1.755032215199735,235.11,0.03,2012.9625
Russian Federation,1994,148407912.0,395077301248.4637,5188.213954522856,41.21529267294311,92.56321283849846,3.9,11.758109981155878,0.5495833333333334,0.8726275893657169,227.42,0.07,1814.9119
Russian Federation,1995,148375787.0,395537185734.8544,5101.553395635907,34.5391926383218,92.28516027632847,3.9,13.72549019607843,2.28175,1.8453553463131884,222.83,0.16,1768.5622
Russian Federation,1996,148160129.0,391724890744.49817,5016.444066406017,35.346704252277746,92.28398752257536,3.7,12.537294483590427,0.6929166666666666,1.1901598252849162,237.97,0.4,1727.1914
Russian Federation,1997,147915361.0,404928954191.87555,4935.619904953617,34.68922704410731,92.05140742538806,3.8,12.160105439882008,1.1369166666666666,1.6664340900224315,223.35,0.05,1607.3811
Russian Federation,1998,147670784.0,270955486862.44205,4848.027352519507,33.94402923917231,92.09763804320829,3.6,10.02124758189833,0.1759166666666667,1.3828209367288145,234.24,0.91,1613.2209
Russian Federation,1999,147214776.0,195907128350.9342,4998.825661358885,33.49620125171215,91.28740238935333,3.8,10.890178035607121,0.5978333333333333,1.4842066811001162,226.91,0.39,1660.9112
Russian Federation,2000,146596869.0,259710142196.94278,5198.405704012683,33.91897031752003,91.11102053165237,3.5,11.417177223535466,0.9393333333333334,1.6480393570003788,225.51,0.36,1681.1521
Russian Federation,2001,145976482.0,306602070620.5005,5274.363304631495,31.837354123332055,90.89618296006631,3.6,12.939609236234459,0.93825,1.1234451570207302,226.49,0.44,1684.2768
Russian Federation,2002,145306497.0,345470494417.8628,5304.415259559935,29.05639281196621,90.7264337760126,3.5,11.492900822095331,1.31975,2.0784748865855143,227.67,0.45,1675.2947
Russian Federation,2003,144648618.0,430347420184.88513,5478.130458183845,28.65313499460585,90.90480707600436,3.3,11.003516673602102,1.5888333333333333,0.9596640760645825,224.53,0.1,1737.2524
Russian Federation,2004,144067316.0,591016690732.3846,5633.845500390942,31.702222426958805,90.67398897965874,3.5,11.419776333240549,0.9977499999999999,1.1696342109822198,225.73,0.21,1738.8704
Russian Federation,2005,143518814.0,764015973481.1102,5770.100636422483,32.62923207329212,90.6824544655467,3.6,11.792644172736304,1.9019166666666667,1.1124827682810292,217.45,0.19,1739.3021
Russian Federation,2006,143049637.0,989932071352.5431,6098.533476180719,31.780260587362047,90.60676977928486,3.5,12.48071133630546,0.72375,1.5427621400699894,226.12,0.51,1776.1969
Russian Federation,2007,142805114.0,1299703478481.653,6286.049391760578,31.222040801973748,90.53764909572999,3.7,14.253129781038709,2.4541666666666666,1.696117470053953,218.03,0.89,1779.046
Russian Federation,2008,142742366.0,1660848058303.1138,6399.683749112019,30.786881700753206,90.96162444674545,3.3,15.882744617711612,2.12675,1.4961016077905047,220.55,0.47,1764.3555
Russian Federation,2009,142785348.0,1222645900055.6956,6095.380318714494,29.326939025544423,90.20404927454018,3.6,15.635064817631052,0.8410833333333333,1.1738803501161814,222.42,0.39,1662.1017
Russian Federation,2010,142849468.0,1524916715223.946,6409.894365164874,29.999588218511963,89.88945165571705,3.3,15.724502462001333,0.9530833333333333,1.454206281695352,220.43,2.49,1746.8968
Russian Federation,2011,143018195.0,2045922753398.036,6483.161111074014,29.413588837874705,91.69254756124229,3.2,16.18722718641337,1.997583333333333,1.2879981533587521,217.26,0.61,1832.6123
Russian Federation,2012,143378447.0,2208293553878.4243,6608.977986768123,29.102868072665977,92.74488818529137,3.2,15.43358350664617,1.5399166666666666,1.2190728347350248,217.07,0.65,1819.802
Russian Federation,2013,143805638.0,2292470078346.2236,6525.627319284937,28.191289179935247,92.639887836736,3.6,15.298276188049224,1.6811666666666667,1.8285735712723061,221.41,0.13,1764.2472
Russian Federation,2014,144237223.0,2059241589895.015,6583.543278561318,27.931527060609895,92.7856116984134,3.3,15.900500620638065,1.5484166666666666,1.597857547798162,225.0,0.51,1750.1989
Russian Federation,2015,144640716.0,1363482182197.7053,6563.387034118387,29.794059987434917,50.13906250571376,3.2,16.66261128328223,2.3386666666666667,1.4226576850700556,221.77,0.68,1757.1139
Russian Federation,2016,145015460.0,1276786350881.137,6683.604630844187,29.173905066920824,0.0,3.4,18.68718197436888,2.1625,1.7007672043326014,220.99,0.62,1734.6382
Russian Federation,2017,145293260.0,1574199360089.0022,6734.187119209797,30.673296885343714,0.0,3.2,20.328288765217962,2.374416666666667,1.955199071634963,226.34,0.58,1763.2401
Russian Federation,2018,145398106.0,1657328773461.3062,6873.349505666875,32.554298053084054,0.0,3.2,20.81411273417784,1.8003333333333333,1.053435358982959,221.27,0.45,1831.1328
Russian Federation,2019,145453291.0,1693115002708.3157,6902.4495293131595,32.15049583653793,0.0,3.2,22.59144752525709,2.347166666666667,1.2903683474970322,220.63,0.38,1858.002
Russian Federation,2020,145245148.0,1493075894362.1426,6770.332871979999,29.717124581429545,0.0,3.7,25.327811983657902,3.5404166666666668,2.0027881173642794,210.97,0.8,1784.1991
Russian Federation,2021,144746762.0,1829186719575.096,7186.675443558454,31.785999154859155,0.0,3.5,27.502963444006937,1.5779166666666666,1.2430577526361712,219.2,1.19,1938.4596
Russian Federation,2022,144236933.0,2291612121334.643,7184.422037038184,32.230143568513775,0.0,,28.212718559133243,2.4021666666666666,1.2720645838775466,219.62,0.44,1895.4729
Russian Federation,2023,143826130.0,2071505725030.5793,,30.408132921899757,,,28.729007225706745,2.4058333333333333,1.2822678369028664,215.91,0.77,1948.3024
United States,1990,249623000.0,5963144000000.0,11713.331704209948,,86.46400591701746,4.2,100.45578435026921,0.7355,1.0246760057045674,113.83,12.66,4983.6037
United States,1991,252981000.0,6158129000000.0,12134.172131503947,,85.7129402243362,4.5,100.83703478611314,0.7105833333333335,0.898837532439663,117.94,8.77,4939.0307
United States,1992,256514000.0,6520327000000.0,12014.958247892902,,85.59449839733215,4.8,102.86987308138056,0.25633333333333336,1.1627446218132147,117.7,6.54,5016.9879
United States,1993,259919000.0,6858559000000.0,12261.523782409135,,86.13355004024733,4.3,108.92486944526554,0.1605,0.6404005907763255,120.4,9.99,5135.577
United States,1994,263126000.0,7287236000000.0,12455.162165654478,,85.94257521416053,4.1,108.1244988357039,0.4765,0.6564428764180475,116.74,10.41,5217.8955
United States,1995,266278000.0,7639749000000.0,12659.607628117981,,85.50088500290715,4.7,108.80798348775059,0.5599166666666666,0.7142239912816022,114.21,10.64,5271.4648
United States,1996,269394000.0,8073122000000.0,12854.298907919256,,85.54141641924413,4.8,112.93845527800882,-0.010083333333333338,0.6019941110361647,126.01,9.51,5426.4743
United States,1997,272657000.0,8577554457000.0,12889.83228011751,23.13210113613156,86.4934454008247,4.5,113.83184230614206,0.40958333333333335,0.7922793550187263,120.33,6.94,5699.5176
United States,1998,275854000.0,9062818202000.0,13154.763026818535,22.670557780212217,86.12255126829575,4.5,112.33983279029776,1.3396666666666668,0.7277062517863158,110.1,14.64,5744.8765
United States,1999,279040000.0,9631174489000.0,13281.869982798165,22.55859773365591,85.81893598369297,5.7,111.76106233007982,0.72275,0.7415892983990532,114.43,9.63,5761.8713
United States,2000,282162411.0,10250947997000.0,13671.052024006132,22.451586084267987,85.89915104088033,5.4,108.6837834202962,0.8610833333333333,1.3423414529801605,121.76,15.03,5928.7614
United States,2001,284968955.0,10581929774000.0,13046.614147846385,21.46900444928241,86.38617718340251,4.7,110.09085116617311,0.9651666666666667,0.6822838892686501,117.7,11.34,5877.6294
United States,2002,287625193.0,10929112955000.0,13296.182299302272,20.65246551384005,86.2808086234009,4.8,111.88175884655185,1.015,0.8491696925036047,121.9,11.4,5726.7267
