country,feature_set,kernel,C,epsilon,gamma,degree,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,rbf,1.0,0.001,auto,,True,,5,5,0,0.179955825377494,0.179955825377494,-2.3426799023560263,0.16678762450126625,0.16678762450126625,-2.101400431134026,5.946338384110538,-4.946338384110538,-3.7236659633164377
Canada,augmented,rbf,1.0,0.01,0.1,,True,,5,5,0,0.17963167517272277,0.17963167517272277,-2.2386758473337167,0.16722696529673617,0.16722696529673617,-2.0195528236932225,5.652430842178701,-4.652430842178701,-3.7878405420950942
Canada,augmented,rbf,1.0,0.01,auto,,True,,5,5,0,0.18185007233392234,0.18185007233392234,-2.3359181234224575,0.16940937802935763,0.16940937802935763,-2.1113764901733707,6.113064719151621,-5.113064719151621,-4.071346044267518
Canada,augmented,poly,10.0,0.01,scale,3.0,True,,5,5,0,0.1860782537621128,0.1860782537621128,-0.9142021149792277,0.172765152495461,0.172765152495461,-0.791587313327125,5.482018429415526,-4.482018429415526,-5.613116865024985
Canada,augmented,poly,100.0,0.01,scale,3.0,True,,5,5,0,0.1860782537621128,0.1860782537621128,-0.9142021149792277,0.172765152495461,0.172765152495461,-0.791587313327125,5.482018429415526,-4.482018429415526,-5.613116865024985
Canada,augmented,poly,500.0,0.01,scale,3.0,True,,5,5,0,0.1860782537621128,0.1860782537621128,-0.9142021149792277,0.172765152495461,0.172765152495461,-0.791587313327125,5.482018429415526,-4.482018429415526,-5.613116865024985
Canada,augmented,poly,500.0,0.01,auto,3.0,True,,5,5,0,0.18609416325328873,0.18609416325328873,-0.9161731624099682,0.17276719147256275,0.17276719147256275,-0.7930386277201655,5.497327737101619,-4.497327737101619,-5.611426935074989
Canada,augmented,poly,500.0,0.01,0.1,3.0,True,,5,5,0,0.1861771000380055,0.1861771000380055,-0.9180991998496552,0.17284548271717365,0.17284548271717365,-0.7945874542209455,5.505925052944901,-4.505925052944901,-5.617706303603088
Canada,augmented,poly,1.0,0.01,1,3.0,True,,5,5,0,0.18617852454665773,0.18617852454665773,-0.9159840526253392,0.17284809360970405,0.17284809360970405,-0.7928282895184804,5.499480743428334,-4.499480743428334,-5.619473807229272
Canada,augmented,poly,10.0,0.01,1,3.0,True,,5,5,0,0.18617852454665773,0.18617852454665773,-0.9159840526253392,0.17284809360970405,0.17284809360970405,-0.7928282895184804,5.499480743428334,-4.499480743428334,-5.619473807229272
Canada,augmented,poly,100.0,0.01,1,3.0,True,,5,5,0,0.18617852454665773,0.18617852454665773,-0.9159840526253392,0.17284809360970405,0.17284809360970405,-0.7928282895184804,5.499480743428334,-4.499480743428334,-5.619473807229272
Canada,augmented,poly,500.0,0.01,1,3.0,True,,5,5,0,0.18617852454665773,0.18617852454665773,-0.9159840526253392,0.17284809360970405,0.17284809360970405,-0.7928282895184804,5.499480743428334,-4.499480743428334,-5.619473807229272
Canada,augmented,poly,1.0,0.01,scale,3.0,True,,5,5,0,0.1944057861907053,0.1944057861907053,-0.900784499578925,0.17321906837563533,0.17321906837563533,-0.7938762938147145,5.478059071609423,-4.478059071609423,-7.679436037504123
Canada,augmented,poly,0.1,0.01,1,3.0,True,,5,5,0,0.18681742371932225,0.18681742371932225,-0.9146663844851206,0.17347555434011988,0.17347555434011988,-0.7915004160494737,5.500805111721872,-4.500805111721872,-5.730383767805298
Canada,augmented,poly,100.0,0.01,0.1,3.0,True,,5,5,0,0.1868206040675229,0.1868206040675229,-0.9167736317527971,0.1734773477646517,0.1734773477646517,-0.793254653714275,5.5072526141460205,-4.5072526141460205,-5.72990215787207
Canada,augmented,rbf,10.0,0.001,scale,,True,,5,5,0,0.2006542972698749,0.2006542972698749,-2.282025463189777,0.17390529269515484,0.17390529269515484,-2.0335891784334974,6.299350175998603,-5.299350175998603,-4.754352737149196
Canada,augmented,rbf,100.0,0.001,scale,,True,,5,5,0,0.2006542972698749,0.2006542972698749,-2.282025463189777,0.17390529269515484,0.17390529269515484,-2.0335891784334974,6.299350175998603,-5.299350175998603,-4.754352737149196
Canada,augmented,rbf,500.0,0.001,scale,,True,,5,5,0,0.2006542972698749,0.2006542972698749,-2.282025463189777,0.17390529269515484,0.17390529269515484,-2.0335891784334974,6.299350175998603,-5.299350175998603,-4.754352737149196
Canada,augmented,poly,100.0,0.01,auto,3.0,True,,5,5,0,0.1900222386491304,0.1900222386491304,-0.908054568136102,0.17420652853905538,0.17420652853905538,-0.789596700821458,5.498867051359416,-4.498867051359416,-6.572729604343193
Canada,augmented,poly,10.0,0.001,scale,3.0,True,,5,5,0,0.187833768243363,0.187833768243363,-0.9355459912562972,0.17450183286907434,0.17450183286907434,-0.7955894448700367,5.158540234006023,-4.158540234006023,-5.588324816042532
Canada,augmented,poly,100.0,0.001,scale,3.0,True,,5,5,0,0.187833768243363,0.187833768243363,-0.9355459912562972,0.17450183286907434,0.17450183286907434,-0.7955894448700367,5.158540234006023,-4.158540234006023,-5.588324816042532
Canada,augmented,poly,500.0,0.001,scale,3.0,True,,5,5,0,0.187833768243363,0.187833768243363,-0.9355459912562972,0.17450183286907434,0.17450183286907434,-0.7955894448700367,5.158540234006023,-4.158540234006023,-5.588324816042532
Canada,augmented,poly,1.0,0.001,1,3.0,True,,5,5,0,0.18791999263900666,0.18791999263900666,-0.9375499952642301,0.17457228003396022,0.17457228003396022,-0.7977444441227013,5.149428638017437,-4.149428638017437,-5.59381071348595
Canada,augmented,poly,10.0,0.001,1,3.0,True,,5,5,0,0.18791999263900666,0.18791999263900666,-0.9375499952642301,0.17457228003396022,0.17457228003396022,-0.7977444441227013,5.149428638017437,-4.149428638017437,-5.59381071348595
Canada,augmented,poly,100.0,0.001,1,3.0,True,,5,5,0,0.18791999263900666,0.18791999263900666,-0.9375499952642301,0.17457228003396022,0.17457228003396022,-0.7977444441227013,5.149428638017437,-4.149428638017437,-5.59381071348595
Canada,augmented,poly,500.0,0.001,1,3.0,True,,5,5,0,0.18791999263900666,0.18791999263900666,-0.9375499952642301,0.17457228003396022,0.17457228003396022,-0.7977444441227013,5.149428638017437,-4.149428638017437,-5.59381071348595
Canada,augmented,poly,500.0,0.001,0.1,3.0,True,,5,5,0,0.18791047156868132,0.18791047156868132,-0.9367210962316731,0.17457686295746858,0.17457686295746858,-0.7972078310554646,5.156257409408245,-4.156257409408245,-5.590178191902732
Canada,augmented,poly,500.0,0.001,auto,3.0,True,,5,5,0,0.1879310880519865,0.1879310880519865,-0.9374956713754333,0.17459044009014835,0.17459044009014835,-0.7976639002539528,5.149597461556271,-4.149597461556271,-5.593636886450897
Canada,augmented,poly,1.0,0.001,scale,3.0,True,,5,5,0,0.1957975300243327,0.1957975300243327,-0.9250583608664709,0.17465190546971882,0.17465190546971882,-0.8006014066361142,5.153359506557129,-4.153359506557129,-7.878667637130798
Canada,augmented,rbf,10.0,0.01,scale,,True,,5,5,0,0.20336644151799374,0.20336644151799374,-2.2485963561092333,0.1758419711595647,0.1758419711595647,-2.0296584045203194,6.1693176261704625,-5.1693176261704625,-5.028940064063842
Canada,augmented,rbf,100.0,0.01,scale,,True,,5,5,0,0.20336644151799374,0.20336644151799374,-2.2485963561092333,0.1758419711595647,0.1758419711595647,-2.0296584045203194,6.1693176261704625,-5.1693176261704625,-5.028940064063842
Canada,augmented,rbf,500.0,0.01,scale,,True,,5,5,0,0.20336644151799374,0.20336644151799374,-2.2485963561092333,0.1758419711595647,0.1758419711595647,-2.0296584045203194,6.1693176261704625,-5.1693176261704625,-5.028940064063842
Canada,augmented,poly,0.1,0.001,1,3.0,True,,5,5,0,0.18961584564250528,0.18961584564250528,-0.9341411060997385,0.1761274741054077,0.1761274741054077,-0.7945918945853174,5.152284505810264,-4.152284505810264,-5.924740193959917
Canada,augmented,poly,100.0,0.001,0.1,3.0,True,,5,5,0,0.1896091014939532,0.1896091014939532,-0.9333151905201413,0.17613439736647735,0.17613439736647735,-0.7940552771845242,5.159136788843124,-4.159136788843124,-5.924422761521184
Canada,augmented,poly,100.0,0.001,auto,3.0,True,,5,5,0,0.19387863170482644,0.19387863170482644,-0.9254437434944627,0.1772752714932716,0.1772752714932716,-0.7919164725032771,5.153122058404611,-4.153122058404611,-6.943751534637515
Canada,augmented,poly,10.0,0.001,0.1,3.0,True,,5,5,0,0.2038295517434956,0.2038295517434956,-0.9088993622416657,0.1826063243017915,0.1826063243017915,-0.7984493083176847,4.749804168051588,-3.7498041680515883,-10.497251193043997
Canada,augmented,poly,10.0,0.01,0.1,3.0,True,,5,5,0,0.20423008958051364,0.20423008958051364,-0.9062100694087245,0.18285736409487843,0.18285736409487843,-0.8378086189703898,5.215036705776322,-4.215036705776322,-10.383072874213132
Canada,augmented,poly,10.0,0.1,scale,2.0,True,,5,5,0,0.20672271790965993,0.20672271790965993,-1.4795879867992805,0.18860876455099587,0.18860876455099587,-1.5184490927601884,8.571505459169234,-7.571505459169235,-7.2114743656239355
Canada,augmented,poly,100.0,0.1,scale,2.0,True,,5,5,0,0.20672271790965993,0.20672271790965993,-1.4795879867992805,0.18860876455099587,0.18860876455099587,-1.5184490927601884,8.571505459169234,-7.571505459169235,-7.2114743656239355
Canada,augmented,poly,500.0,0.1,scale,2.0,True,,5,5,0,0.20672271790965993,0.20672271790965993,-1.4795879867992805,0.18860876455099587,0.18860876455099587,-1.5184490927601884,8.571505459169234,-7.571505459169235,-7.2114743656239355
Canada,augmented,poly,100.0,0.1,auto,2.0,True,,5,5,0,0.20671114029618937,0.20671114029618937,-1.4755350412346524,0.18861099087376892,0.18861099087376892,-1.5144329858303252,8.554754473593286,-7.554754473593286,-7.219171826351385
