country,feature_set,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,min_child_weight,random_state,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,150,10,0.1,1.0,1.0,10.0,0.0,1,42,True,,5,5,0,0.1591788254758061,0.1591788254758061,-1.7765347557911018,0.13758006217216176,0.13758006217216176,-1.7803390637700414,7.1016189502691205,-6.10161895026912,-5.114742958651745
Canada,augmented,150,10,0.1,0.8,1.0,5.0,0.0,1,42,True,,5,5,0,0.15466988444445556,0.15466988444445556,-1.473123500227739,0.1381311900333509,0.1381311900333509,-1.4564684225518731,5.801024044066538,-4.801024044066537,-5.453602024896357
Canada,augmented,150,10,0.1,1.0,0.8,5.0,0.0,1,42,True,,5,5,0,0.1540383889783255,0.1540383889783255,-1.7047354718493317,0.13983785221611184,0.13983785221611184,-1.6949939207951092,6.103577246391769,-5.103577246391769,-4.775695962730379
Canada,augmented,50,10,0.05,0.8,1.0,0.0,0.0,1,42,True,,5,5,0,0.15963032182562417,0.15963032182562417,-1.4840082210294294,0.1422912554235205,0.1422912554235205,-1.4679795898318768,5.947598001079594,-4.947598001079594,-4.407740806283477
Canada,augmented,100,10,0.05,1.0,0.8,1.0,0.0,1,42,True,,5,5,0,0.15668080379887178,0.15668080379887178,-1.7528352191760626,0.14269072907303496,0.14269072907303496,-1.7405124111867771,6.272723161228051,-5.272723161228051,-4.339205444187497
Canada,augmented,150,10,0.1,1.0,1.0,0.0,0.1,1,42,True,,5,5,0,0.16413455579010244,0.16413455579010244,-2.0057766774682944,0.14293632777665777,0.14293632777665777,-2.00628810104453,8.04674428287247,-7.04674428287247,-4.27413439898532
Canada,augmented,100,10,0.1,1.0,1.0,0.0,0.1,1,42,True,,5,5,0,0.16413849545156467,0.16413849545156467,-2.0057692462367234,0.14294464858506842,0.14294464858506842,-2.006272405824332,8.04675971773665,-7.04675971773665,-4.275416341439419
Canada,augmented,50,10,0.1,0.8,1.0,1.0,0.0,1,42,True,,5,5,0,0.16039421524217518,0.16039421524217518,-1.5749114254941836,0.14331826023679306,0.14331826023679306,-1.5672997313817405,6.067331672055998,-5.067331672055998,-7.32881864933217
Canada,augmented,50,10,0.1,0.8,0.8,1.0,0.0,1,42,True,,5,5,0,0.16054891518761258,0.16054891518761258,-1.811435817561549,0.143445793262469,0.143445793262469,-1.820035983689867,6.836953842812538,-5.836953842812539,-6.175859896395813
Canada,augmented,50,10,0.05,0.8,0.8,0.0,0.0,1,42,True,,5,5,0,0.16126171349293944,0.16126171349293944,-1.747970225722737,0.14409704422836228,0.14409704422836228,-1.771101199375724,7.173740690634899,-6.173740690634899,-5.77314599344868
Canada,augmented,50,10,0.1,1.0,0.8,1.0,0.0,1,42,True,,5,5,0,0.16055484100828016,0.16055484100828016,-1.8248939209509853,0.14425873505209608,0.14425873505209608,-1.812685778935387,6.538111828375281,-5.538111828375282,-4.121420787674353
Canada,augmented,150,10,0.1,0.8,0.8,5.0,0.0,1,42,True,,5,5,0,0.1608563779292965,0.1608563779292965,-1.7111788234693013,0.1461501511770956,0.1461501511770956,-1.7181171049403283,6.39056929998364,-5.39056929998364,-5.643553229005628
Canada,augmented,150,10,0.1,1.0,1.0,1.0,0.0,3,42,True,,5,5,0,0.16038986093867574,0.16038986093867574,-1.997916482795598,0.1463099618072603,0.1463099618072603,-1.8129059303840234,4.724360114708373,-3.724360114708373,-1.8178706287947972
Canada,augmented,150,10,0.1,1.0,1.0,1.0,0.1,1,42,True,,5,5,0,0.16850470609657348,0.16850470609657348,-2.003462599361321,0.14681404801343603,0.14681404801343603,-2.00400015862274,8.057040137196225,-7.057040137196225,-5.584971508249749
Canada,augmented,150,10,0.05,1.0,1.0,0.0,0.1,1,42,True,,5,5,0,0.16987871749244088,0.16987871749244088,-1.9952399671387073,0.14714141758416815,0.14714141758416815,-1.9984528466646054,8.060282829028978,-7.060282829028978,-5.690344692792434
Canada,augmented,100,10,0.1,1.0,1.0,1.0,0.1,1,42,True,,5,5,0,0.16940258379724843,0.16940258379724843,-2.0056320710152415,0.1473743082049958,0.1473743082049958,-2.007342166532537,8.066846285059272,-7.066846285059272,-5.658354568006418
Canada,augmented,50,10,0.1,1.0,1.0,0.0,0.1,1,42,True,,5,5,0,0.16967056457570343,0.16967056457570343,-2.025505595158127,0.14747022101913615,0.14747022101913615,-2.0292606758870684,8.179400420358942,-7.1794004203589425,-4.7912201257385165
Canada,augmented,150,10,0.05,1.0,1.0,1.0,0.1,1,42,True,,5,5,0,0.1694306395927337,0.1694306395927337,-2.0338638772654534,0.1481132791403405,0.1481132791403405,-2.036979088750871,8.167687191705763,-7.167687191705762,-4.23695951000484
Canada,augmented,150,10,0.05,1.0,1.0,5.0,0.0,1,42,True,,5,5,0,0.16781734098237389,0.16781734098237389,-1.9036038869911605,0.14852168381767644,0.14852168381767644,-1.9043338101477052,7.767065992475999,-6.767065992475999,-4.153597462308305
Canada,augmented,100,10,0.05,0.8,0.8,1.0,0.0,1,42,True,,5,5,0,0.1632613728326902,0.1632613728326902,-1.7788663690311104,0.1486002831745617,0.1486002831745617,-1.779701006431931,6.570512125025698,-5.570512125025699,-5.496761088953301
Canada,augmented,150,10,0.1,1.0,1.0,5.0,0.1,1,42,True,,5,5,0,0.1715385818848087,0.1715385818848087,-2.0856030464441444,0.14901788973101932,0.14901788973101932,-2.092297187704296,8.237339676928922,-7.237339676928921,-5.166579140240093
Canada,augmented,100,10,0.1,1.0,1.0,1.0,0.0,3,42,True,,5,5,0,0.1641575569419042,0.1641575569419042,-2.0742932425199516,0.15061523053822853,0.15061523053822853,-1.9306325911701787,5.337735560462099,-4.337735560462099,-2.055318986178579
Canada,augmented,100,10,0.05,1.0,1.0,0.0,0.1,1,42,True,,5,5,0,0.17458304619979023,0.17458304619979023,-2.0200536390710764,0.15090027333089667,0.15090027333089667,-2.0264885528701875,8.205852869454349,-7.205852869454349,-6.031652031635192
