country,feature_set,n_steps,n_blocks,function,solver,alpha,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,1,4,hyperbolic,lsqr,0.0001,True,,5,5,0,0.36801322964685634,0.36801322964685634,-0.303630230127211,0.2848713574402824,0.2848713574402824,-0.31638926755438923,1.2485951739169268,-0.24859517391692698,-91.21082084386006
Canada,augmented,1,4,hyperbolic,svd,0.0001,True,,5,5,0,0.3680132298986267,0.3680132298986267,-0.3036302296523734,0.2848713604251987,0.2848713604251987,-0.3163892619246547,1.2485951797244923,-0.24859517972449216,-91.21082124882392
Canada,augmented,1,4,hyperbolic,cholesky,0.0001,True,,5,5,0,0.368013229898634,0.368013229898634,-0.3036302296523591,0.2848713604251992,0.2848713604251992,-0.3163892619246555,1.2485951797244943,-0.24859517972449413,-91.2108212488628
Canada,augmented,1,4,hyperbolic,svd,0.0,True,,5,5,0,0.3625720519087653,0.3625720519087653,-0.3046316509502034,0.29991321919424896,0.29991321919424896,-0.2754661954747909,1.3295872636823491,-0.3295872636823491,-61.99069008611743
Canada,augmented,1,4,hyperbolic,cholesky,0.0,True,,5,5,0,0.3625720519089084,0.3625720519089084,-0.30463165094981676,0.2999132191945109,0.2999132191945109,-0.2754661954740789,1.3295872636828794,-0.32958726368287933,-61.99069008612901
Canada,augmented,1,4,hyperbolic,lsqr,0.0,True,,5,5,0,0.36257677944453154,0.36257677944453154,-0.30462362553531924,0.29991605403464316,0.29991605403464316,-0.2754613879015844,1.3295911976217023,-0.3295911976217024,-61.99120437521568
Canada,augmented,1,2,hyperbolic,cholesky,0.0,True,,5,5,0,0.39025299803822155,0.39025299803822155,-1.4896446486175416,0.3025569528624512,0.3025569528624512,-1.510994453303954,12.891107428596095,-11.891107428596094,-30.88278915087439
Canada,augmented,1,1,hyperbolic,lsqr,0.1,True,,5,5,0,0.36268453598760536,0.36268453598760536,-3.68788718645281,0.32110052447389814,0.32110052447389814,-3.545862552549882,8.313974197539363,-7.3139741975393635,-42.7515702223471
Canada,augmented,1,1,hyperbolic,cholesky,0.1,True,,5,5,0,0.36269736266409774,0.36269736266409774,-3.687483030739075,0.3211126287076665,0.3211126287076665,-3.545499938662254,8.314013423008427,-7.3140134230084275,-42.75538119269469
Canada,augmented,1,1,hyperbolic,svd,0.1,True,,5,5,0,0.3626973626640978,0.3626973626640978,-3.687483030739075,0.3211126287076667,0.3211126287076667,-3.5454999386622545,8.31401342300844,-7.31401342300844,-42.755381192694536
