country,feature_set,p,d,q,trend,seasonal_order,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,1,0,3,n,"(0, 0, 0, 0)",True,,5,5,0,0.398546944809764,0.398546944809764,-11.193309897400884,0.29875354870752246,0.29875354870752246,-7.573303701664211,16.28387479028234,-15.28387479028234,-25.314262928073987
Canada,augmented,2,0,1,c,"(0, 0, 0, 0)",True,,5,5,0,0.4077893091247482,0.4077893091247482,-11.132793824259533,0.2987783227132602,0.2987783227132602,-7.539265341840844,16.309931692386453,-15.309931692386453,-21.035731605200688
Canada,augmented,0,0,0,c,"(0, 0, 0, 0)",True,,5,5,0,0.4084560219276952,0.4084560219276952,-11.124671684728245,0.3014414089926295,0.3014414089926295,-7.530561842279107,16.396393453375907,-15.396393453375907,-19.943537240087444
Canada,augmented,3,0,0,n,"(0, 0, 0, 0)",True,,5,5,0,0.3935156916608284,0.3935156916608284,-11.17744567926221,0.30159583092752584,0.30159583092752584,-7.547032800988353,16.310550489493874,-15.310550489493874,-21.154000119032784
Canada,augmented,0,0,1,n,"(0, 0, 0, 0)",True,,5,5,0,0.3896508826127409,0.3896508826127409,-11.202664136660507,0.3032639418280852,0.3032639418280852,-7.553462316692465,16.332885401680738,-15.332885401680738,-22.791725794913305
Canada,augmented,0,0,0,n,"(0, 0, 0, 0)",True,,5,5,0,0.4014938519248889,0.4014938519248889,-11.170924839979778,0.3038596339015245,0.3038596339015245,-7.547098588207329,16.369704710135444,-15.369704710135446,-23.440223668342064
Canada,augmented,1,0,0,n,"(0, 0, 0, 0)",True,,5,5,0,0.3993635790890747,0.3993635790890747,-11.179769343720613,0.3043063501723792,0.3043063501723792,-7.546753675374914,16.344633657133443,-15.344633657133443,-24.383080869866156
Canada,augmented,0,0,1,c,"(0, 0, 0, 0)",True,,5,5,0,0.3926176048244964,0.3926176048244964,-11.174034179705773,0.3058617491579857,0.3058617491579857,-7.530576242601166,16.40218435262856,-15.402184352628558,-19.880739286710252
Canada,augmented,1,0,2,n,"(0, 0, 0, 0)",True,,5,5,0,0.39317193448418347,0.39317193448418347,-11.199398308535546,0.30702779226806837,0.30702779226806837,-7.556345375352896,16.301409757871532,-15.30140975787153,-23.427462789567887
Canada,augmented,2,0,0,c,"(0, 0, 0, 0)",True,,5,5,0,0.4253671107479907,0.4253671107479907,-11.085695520015799,0.3082224719121722,0.3082224719121722,-7.51277165830295,16.33155513071621,-15.331555130716211,-23.014805190808424
Canada,augmented,3,0,0,c,"(0, 0, 0, 0)",True,,5,5,0,0.4108687496216154,0.4108687496216154,-11.113191116986531,0.3096912518640309,0.3096912518640309,-7.504141907456699,16.3352704941166,-15.3352704941166,-19.077044647888254
Canada,augmented,2,0,0,n,"(0, 0, 0, 0)",True,,5,5,0,0.42324820119501316,0.42324820119501316,-11.100771293012501,0.3103958465964083,0.3103958465964083,-7.513839938984217,16.374816941547166,-15.374816941547166,-27.18604528426338
Canada,augmented,1,0,2,c,"(0, 0, 0, 0)",True,,5,5,0,0.4096426108734953,0.4096426108734953,-11.142829386838788,0.31150508219029044,0.31150508219029044,-7.529685228867803,16.35173679710385,-15.35173679710385,-22.331919844350466
Canada,augmented,1,0,1,c,"(0, 0, 0, 0)",True,,5,5,0,0.40118960847939666,0.40118960847939666,-11.16291176702976,0.3117683432949089,0.3117683432949089,-7.5257967046426675,16.380250016773633,-15.380250016773633,-21.114738077723615
Canada,augmented,1,0,0,c,"(0, 0, 0, 0)",True,,5,5,0,0.430755901960992,0.430755901960992,-11.090694541059504,0.32205133709695355,0.32205133709695355,-7.4973363680745395,16.411270307416604,-15.411270307416604,-23.432571050126764
Canada,augmented,0,0,2,c,"(0, 0, 0, 0)",True,,5,5,0,0.43388886569685736,0.43388886569685736,-11.09137727012387,0.33032526548956015,0.33032526548956015,-7.490372205946831,16.421393083445658,-15.42139308344566,-25.03750685752859
Canada,augmented,0,0,2,n,"(0, 0, 0, 0)",True,,5,5,0,0.42813144570923667,0.42813144570923667,-11.123637446669894,0.3345199458165973,0.3345199458165973,-7.496239236466775,16.362566247714902,-15.3625662477149,-36.80857023320599
